annee,type,topic,valeur
2016.0,topic_weight,0,17.05497932434082
2016.0,topic_weight,1,3.7242112159729004
2016.0,topic_weight,2,1.7729508876800537
2016.0,topic_weight,3,0.0
2016.0,topic_weight,4,0.4787400960922241
2016.0,topic_weight,5,4.883782386779785
2016.0,nb_topics_actifs,,4.0
2016.0,mot_cle_eco,environment,5815.0
2016.0,mot_cle_eco,environmental,3318.0
2016.0,mot_cle_eco,climate,3284.0
2016.0,mot_cle_eco,global,1162.0
2016.0,mot_cle_eco,warming,190.0
2016.0,mot_cle_eco,biodiversity,1480.0
2016.0,mot_cle_eco,ecosystem,259.0
2016.0,mot_cle_eco,pollution,1327.0
2016.0,mot_cle_eco,sustainable,6054.0
2016.0,mot_cle_eco,sustainability,892.0
2016.0,mot_cle_eco,renewable,1765.0
2016.0,mot_cle_eco,energy,12263.0
2016.0,mot_cle_eco,carbon,413.0
2016.0,mot_cle_eco,greenhouse,318.0
2016.0,mot_cle_eco,emissions,2366.0
2016.0,mot_cle_eco,ecological,215.0
2016.0,mot_cle_eco,atmospheric,61.0
2016.0,mot_cle_eco,ozone,9.0
2016.0,mot_cle_eco,waste,852.0
2017.0,topic_weight,0,3.5700368881225586
2017.0,topic_weight,1,0.0
2017.0,topic_weight,2,0.0
2017.0,topic_weight,3,0.0
2017.0,topic_weight,4,4.62539529800415
2017.0,topic_weight,5,19.78697967529297
2017.0,nb_topics_actifs,,3.0
2017.0,mot_cle_eco,environment,1242.0
2017.0,mot_cle_eco,environmental,978.0
2017.0,mot_cle_eco,climate,1580.0
2017.0,mot_cle_eco,global,352.0
2017.0,mot_cle_eco,warming,72.0
2017.0,mot_cle_eco,biodiversity,148.0
2017.0,mot_cle_eco,ecosystem,56.0
2017.0,mot_cle_eco,pollution,177.0
2017.0,mot_cle_eco,sustainable,1454.0
2017.0,mot_cle_eco,sustainability,330.0
2017.0,mot_cle_eco,renewable,224.0
2017.0,mot_cle_eco,energy,2044.0
2017.0,mot_cle_eco,carbon,237.0
2017.0,mot_cle_eco,greenhouse,136.0
2017.0,mot_cle_eco,emissions,820.0
2017.0,mot_cle_eco,ecological,85.0
2017.0,mot_cle_eco,atmospheric,2.0
2017.0,mot_cle_eco,ozone,0.0
2017.0,mot_cle_eco,waste,810.0
2018.0,topic_weight,0,2.60221529006958
2018.0,topic_weight,1,22.21622085571289
2018.0,topic_weight,2,1.4789546728134155
2018.0,topic_weight,3,1.6831660270690918
2018.0,topic_weight,4,0.0
2018.0,topic_weight,5,0.0
2018.0,nb_topics_actifs,,4.0
2018.0,mot_cle_eco,environment,1279.0
2018.0,mot_cle_eco,environmental,822.0
2018.0,mot_cle_eco,climate,1929.0
2018.0,mot_cle_eco,global,327.0
2018.0,mot_cle_eco,warming,89.0
2018.0,mot_cle_eco,biodiversity,182.0
2018.0,mot_cle_eco,ecosystem,50.0
2018.0,mot_cle_eco,pollution,203.0
2018.0,mot_cle_eco,sustainable,1146.0
2018.0,mot_cle_eco,sustainability,270.0
2018.0,mot_cle_eco,renewable,375.0
2018.0,mot_cle_eco,energy,2168.0
2018.0,mot_cle_eco,carbon,259.0
2018.0,mot_cle_eco,greenhouse,170.0
2018.0,mot_cle_eco,emissions,789.0
2018.0,mot_cle_eco,ecological,119.0
2018.0,mot_cle_eco,atmospheric,5.0
2018.0,mot_cle_eco,ozone,1.0
2018.0,mot_cle_eco,waste,644.0
2019.0,topic_weight,0,0.025867532938718796
2019.0,topic_weight,1,0.0
2019.0,topic_weight,2,0.0
2019.0,topic_weight,3,20.18403434753418
2019.0,topic_weight,4,7.754479885101318
2019.0,topic_weight,5,0.0
2019.0,nb_topics_actifs,,2.0
2019.0,mot_cle_eco,environment,1004.0
2019.0,mot_cle_eco,environmental,794.0
2019.0,mot_cle_eco,climate,3176.0
2019.0,mot_cle_eco,global,312.0
2019.0,mot_cle_eco,warming,90.0
2019.0,mot_cle_eco,biodiversity,237.0
2019.0,mot_cle_eco,ecosystem,40.0
2019.0,mot_cle_eco,pollution,253.0
2019.0,mot_cle_eco,sustainable,1309.0
2019.0,mot_cle_eco,sustainability,378.0
2019.0,mot_cle_eco,renewable,129.0
2019.0,mot_cle_eco,energy,1106.0
2019.0,mot_cle_eco,carbon,346.0
2019.0,mot_cle_eco,greenhouse,117.0
2019.0,mot_cle_eco,emissions,501.0
2019.0,mot_cle_eco,ecological,191.0
2019.0,mot_cle_eco,atmospheric,4.0
2019.0,mot_cle_eco,ozone,8.0
2019.0,mot_cle_eco,waste,263.0
2020.0,topic_weight,0,1.4673714637756348
2020.0,topic_weight,1,0.0
2020.0,topic_weight,2,1.2400399446487427
2020.0,topic_weight,3,1.0915577411651611
2020.0,topic_weight,4,23.18548011779785
2020.0,topic_weight,5,0.0
2020.0,nb_topics_actifs,,4.0
2020.0,mot_cle_eco,environment,703.0
2020.0,mot_cle_eco,environmental,648.0
2020.0,mot_cle_eco,climate,2214.0
2020.0,mot_cle_eco,global,188.0
2020.0,mot_cle_eco,warming,52.0
2020.0,mot_cle_eco,biodiversity,401.0
2020.0,mot_cle_eco,ecosystem,44.0
2020.0,mot_cle_eco,pollution,95.0
2020.0,mot_cle_eco,sustainable,934.0
2020.0,mot_cle_eco,sustainability,242.0
